% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.112	0	0	12	3	5	28	9422	0	0	0
0.113	0	0	12	4	11	28	9422	0	0	0
0.114	0	0	12	5	8	28	9422	0	0	0
0.115	0	0	12	6	12	28	9422	0	0	0
0.116	0	0	12	7	15	28	9422	0	0	0
0.117	0	0	12	8	20	28	9422	0	0	0
0.118	0	0	12	9	5	28	9422	0	0	0
0.119	0	0	12	10	11	28	9422	0	0	0
0.12	0	0	13	1	8	28	9422	0	0	0
0.121	0	0	13	2	12	28	9422	0	0	0
0.122	0	0	13	3	15	28	9422	0	0	0
0.123	0	0	13	4	20	28	9422	0	0	0
0.124	0	0	13	5	5	28	9422	0	0	0
0.125	0	0	13	6	3	28	9422	0	0	0
0.126	0	0	13	7	4	28	9422	0	0	0
0.127	0	0	13	8	7	28	9422	0	0	0
0.128	0	0	13	9	9	28	9422	0	0	0
0.129	0	0	13	10	10	28	9422	0	0	0
0.13	0	0	14	1	19	28	9422	0	0	0
0.131	0	0	14	2	11	28	9422	0	0	0
0.132	0	0	14	3	8	28	9422	0	0	0
0.133	0	0	14	4	12	28	9422	0	0	0
0.134	0	0	14	5	2	28	9422	0	0	0
0.135	0	0	14	6	18	28	9422	0	0	0
0.136	0	0	14	7	15	28	9422	0	0	0
0.137	0	0	14	8	20	28	9422	0	0	0
0.138	0	0	14	9	5	28	9422	0	0	0
0.139	0	0	14	10	11	28	9422	0	0	0
0.14	0	0	15	1	8	28	9422	0	0	0
0.141	0	0	15	2	12	28	9422	0	0	0
0.142	0	0	15	3	15	28	9422	0	0	0
0.143	0	0	15	4	20	28	9422	0	0	0
0.144	0	0	15	5	5	28	9422	0	0	0
0.145	0	0	15	6	11	28	9422	0	0	0
0.146	0	0	15	7	8	28	9422	0	0	0
0.147	0	0	15	8	12	28	9422	0	0	0
0.148	0	0	15	9	15	28	9422	0	0	0
0.149	0	0	15	10	20	28	9422	0	0	0
0.15	0	0	16	1	5	28	9422	0	0	0
0.151	0	0	16	2	11	28	9422	0	0	0
0.152	0	0	16	3	8	28	9422	0	0	0
0.153	0	0	16	4	12	28	9422	0	0	0
